country,clips,lead_frac,agents,v,clips_with_lead
Italy,27,0.6857,3.6448,15.2673,0.8889
Portugal,48,0.5443,3.0512,17.0463,0.7708
Czechia,18,0.5107,2.6056,12.5521,0.8333
United States,27,0.4797,2.0078,13.3805,0.7778
Bulgaria,27,0.4733,2.1213,12.2826,0.7037
Hungary,25,0.4578,1.7109,14.8718,0.72
Belgium,21,0.4489,2.4923,15.9383,0.6667
Poland,28,0.4394,2.0445,18.1674,0.6429
Spain,25,0.4313,2.1111,16.3595,0.72
Luxembourg,29,0.4219,2.6707,8.6096,0.7586
Netherlands,32,0.3997,2.3514,11.7563,0.75
Austria,43,0.3941,2.1511,11.4944,0.7442
Slovakia,17,0.3928,2.7826,12.5227,0.8235
Greece,19,0.3927,2.1964,12.1978,0.4737
Romania,22,0.3278,1.0,12.9533,0.7273
Slovenia,22,0.2988,1.1337,14.9039,0.5455
Sweden,25,0.2868,1.2606,11.6211,0.6
France,17,0.2724,1.281,16.0809,0.5294
Denmark,20,0.2567,1.0076,13.2869,0.5
Finland,19,0.2521,1.2379,8.1648,0.6316
Lithuania,22,0.248,1.1007,15.573,0.4545
Germany,14,0.2297,1.1416,10.5627,0.7143
Latvia,29,0.2057,0.7247,12.927,0.4138
Estonia,20,0.183,0.5158,14.2821,0.35
Croatia,18,0.166,0.8856,11.7873,0.4444
